"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NZ_CP061109.1","NZ_CP061109.1","SAMN15945289",1,"TEM-1","Ghana","Sub-Saharan Africa","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP061110.1","NZ_CP061110.1","SAMN15945289",1,"OXA-181","Ghana","Sub-Saharan Africa","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP061101.1","NZ_CP061101.1","SAMN15945290",1,"OXA-1","Ghana","Sub-Saharan Africa","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"chromosome"
"NZ_CP061102.1","NZ_CP061102.1","SAMN15945290",2,"TEM-190,OXA-181","Ghana","Sub-Saharan Africa","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP061062.1","NZ_CP061062.1","SAMN15946735",1,"SHV-11","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"university hospital in northern Germany","chromosome"
"NZ_CP061063.1","NZ_CP061063.1","SAMN15946735",1,"OXA-181","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"university hospital in northern Germany","plasmid"
"NZ_CP061064.1","NZ_CP061064.1","SAMN15946735",3,"TEM-243,CTX-M-15,OXA-796","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"university hospital in northern Germany","plasmid"
"NZ_JACTAR010000004.1","NZ_JACTAR010000004.1","SAMN15946736",1,"OXA-181","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","throat swab",NA,"university hospital in northern Germany","plasmid"
"NZ_JACTAR010000005.1","NZ_JACTAR010000005.1","SAMN15946736",3,"TEM-1,CTX-M-15,OXA-1","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","throat swab",NA,"university hospital in northern Germany","plasmid"
"NZ_CP061053.1","NZ_CP061053.1","SAMN15946737",1,"SHV-11","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"university hospital in northern Germany","chromosome"
"NZ_CP061054.1","NZ_CP061054.1","SAMN15946737",1,"OXA-181","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"university hospital in northern Germany","plasmid"
"NZ_CP061055.1","NZ_CP061055.1","SAMN15946737",3,"TEM-1,CTX-M-15,OXA-1","Germany","Europe & Central Asia","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"university hospital in northern Germany","plasmid"
"NZ_CP065848.1","NZ_CP065848.1","SAMN15950776",2,"OXA-2,OXA-50","US","North America","2010","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","tracheal aspirate",NA,"Carilion Roanoke Memorial Hospital","chromosome"
"NZ_CP061126.1","NZ_CP061126.1","SAMN15962523",1,"TEM-1","China","East Asia & Pacific","2015","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","chromosome"
"NZ_CP061127.1","NZ_CP061127.1","SAMN15962523",4,"TEM-1,TEM-105,CTX-M-65,OXA-10","China","East Asia & Pacific","2015","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","plasmid"
"NZ_CP061124.1","NZ_CP061124.1","SAMN15962524",2,"TEM-1,CTX-M-14","China","East Asia & Pacific","2016","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","chromosome"
"NZ_CP061125.1","NZ_CP061125.1","SAMN15962524",1,"CTX-M-14","China","East Asia & Pacific","2016","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","plasmid"
"NZ_CP061122.1","NZ_CP061122.1","SAMN15962525",2,"TEM-1,CTX-M-55","China","East Asia & Pacific","2017","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","chromosome"
"NZ_CP061123.1","NZ_CP061123.1","SAMN15962525",1,"CTX-M-14","China","East Asia & Pacific","2017","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","plasmid"
"NZ_CP061119.1","NZ_CP061119.1","SAMN15962526",1,"TEM-1","China","East Asia & Pacific","2017","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","chromosome"
"NZ_CP061120.1","NZ_CP061120.1","SAMN15962526",1,"CTX-M-14","China","East Asia & Pacific","2017","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","plasmid"
"NZ_CP061118.1","NZ_CP061118.1","SAMN15962527",4,"TEM-1,CTX-M-14,OXA-1,OXA-796","China","East Asia & Pacific","2017","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","chromosome"
"NZ_CP061116.1","NZ_CP061116.1","SAMN15962528",2,"CTX-M-14,OXA-1","China","East Asia & Pacific","2018","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,"Xiaoting Hua","plasmid"
"NZ_CP061186.1","NZ_CP061186.1","SAMN16056871",1,"CTX-M-132","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"feces",NA,"Xiaoyu Lu","plasmid"
"NZ_CP061187.1","NZ_CP061187.1","SAMN16056871",2,"TEM-105,OXA-10","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"feces",NA,"Xiaoyu Lu","plasmid"
"NZ_CP061188.1","NZ_CP061188.1","SAMN16056871",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"feces",NA,"Xiaoyu Lu","plasmid"
"NZ_CP061207.1","NZ_CP061207.1","SAMN16073343",1,"SHV-1","Sweden","Europe & Central Asia","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,NA,NA,"plasmid"
"NZ_CP061537.1","NZ_CP061537.1","SAMN16083725",1,"OXA-193","US","North America","2011","Campylobacter coli","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria",NA,"chicken",NA,"Cathy Cutter's Laboratory Penn State University","chromosome"
"NZ_CP061354.1","NZ_CP061354.1","SAMN16085444",1,"SHV-28","China","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","not collected",NA,"Liu, Hongmao","chromosome"
"NZ_CP061355.1","NZ_CP061355.1","SAMN16085444",2,"TEM-1,KPC-2","China","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","not collected",NA,"Liu, Hongmao","plasmid"
"NZ_CP061356.1","NZ_CP061356.1","SAMN16085444",2,"TEM-213,IMP-4","China","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","not collected",NA,"Liu, Hongmao","plasmid"
"NZ_CP061350.1","NZ_CP061350.1","SAMN16085534",1,"SHV-1","Singapore","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Stool/Rectal Swab",NA,"CaPES study group","chromosome"
"NZ_CP061352.1","NZ_CP061352.1","SAMN16085534",1,"OXA-1","Singapore","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Stool/Rectal Swab",NA,"CaPES study group","plasmid"
"NZ_CP061353.1","NZ_CP061353.1","SAMN16085534",3,"TEM-1,TEM-160,KPC-2","Singapore","East Asia & Pacific","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Stool/Rectal Swab",NA,"CaPES study group","plasmid"
"NZ_CP061700.1","NZ_CP061700.1","SAMN16093148",1,"SHV-11","China","East Asia & Pacific","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","infant sputum",NA,"Ziyi Liu","chromosome"
"NZ_CP061701.1","NZ_CP061701.1","SAMN16093148",3,"TEM-1,VEB-3,NDM-1","China","East Asia & Pacific","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","infant sputum",NA,"Ziyi Liu","plasmid"
"NZ_CP075463.1","NZ_CP075463.1","SAMN16120638",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075471.1","NZ_CP075471.1","SAMN16120643",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075486.1","NZ_CP075486.1","SAMN16120645",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075483.1","NZ_CP075483.1","SAMN16120647",2,"TEM-243,CTX-M-55","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075485.1","NZ_CP075485.1","SAMN16120647",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075473.1","NZ_CP075473.1","SAMN16120648",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075481.1","NZ_CP075481.1","SAMN16120649",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075467.1","NZ_CP075467.1","SAMN16120650",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075470.1","NZ_CP075470.1","SAMN16120651",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075478.1","NZ_CP075478.1","SAMN16120652",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_CP075479.1","NZ_CP075479.1","SAMN16120652",1,"TEM-1","China","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","pig","pig farm",NA,"Yangzgou University","plasmid"
"NZ_JACWMO010000031.1","NZ_JACWMO010000031.1","SAMN16124401",1,"OXA-232","India","South Asia","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Department of Clinical Microbiology, Christian Medical College, Vellore","plasmid"
"NZ_JACWMP010000038.1","NZ_JACWMP010000038.1","SAMN16124447",1,"OXA-232","India","South Asia","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Department of Clinical Microbiology, Christian Medical College, Vellore","plasmid"
"NZ_JACWMR010000044.1","NZ_JACWMR010000044.1","SAMN16124512",1,"OXA-232","India","South Asia","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Department of Clinical Microbiology, Christian Medical College, Vellore","plasmid"
"NZ_CP061513.1","NZ_CP061513.1","SAMN16124556",1,"NDM-1","China","East Asia & Pacific","2020","Morganella morganii","Morganella","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"environment",NA,NA,"chromosome"
"NZ_JACYGB010000003.1","NZ_JACYGB010000003.1","SAMN16125000",1,"TEM-1","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"food",NA,"CVUA","plasmid"
"NZ_JACYGC010000002.1","NZ_JACYGC010000002.1","SAMN16125001",1,"TEM-1","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"food",NA,"CVUA","plasmid"
"NZ_JACYGD010000001.1","NZ_JACYGD010000001.1","SAMN16125002",1,"TEM-1","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"food",NA,"CVUA","plasmid"
"NZ_JACYGE010000010.1","NZ_JACYGE010000010.1","SAMN16125003",1,"TEM-1","missing","missing","2019","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"food",NA,"CVUA","plasmid"
"NZ_JACYGF010000015.1","NZ_JACYGF010000015.1","SAMN16125004",1,"TEM-1","missing","missing","2019","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"broiler carcass",NA,"CVUA","plasmid"
"NZ_JACYGH010000005.1","NZ_JACYGH010000005.1","SAMN16125006",1,"TEM-32","missing","missing","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"food",NA,"CVUA","plasmid"
"NZ_JACYGH010000007.1","NZ_JACYGH010000007.1","SAMN16125006",1,"TEM-1","missing","missing","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"food",NA,"CVUA","plasmid"
"NZ_JACYGK010000003.1","NZ_JACYGK010000003.1","SAMN16125009",1,"OXA-48","missing","missing","2019","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sewage",NA,"CVUA","plasmid"
"NZ_JACYGL010000003.1","NZ_JACYGL010000003.1","SAMN16125010",1,"OXA-48","missing","missing","2019","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sewage",NA,"CVUA","plasmid"
"NZ_JACYGM010000010.1","NZ_JACYGM010000010.1","SAMN16125011",1,"OXA-48","missing","missing","2019","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sewage",NA,"CVUA","plasmid"
"NZ_JACYGN010000002.1","NZ_JACYGN010000002.1","SAMN16125012",1,"OXA-48","missing","missing","2019","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sludge",NA,"CVUA","plasmid"
"NZ_JACYGO010000003.1","NZ_JACYGO010000003.1","SAMN16125013",1,"OXA-48","missing","missing","2019","Klebsiella michiganensis","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sludge",NA,"CVUA","plasmid"
"NZ_JACYGP010000006.1","NZ_JACYGP010000006.1","SAMN16125014",1,"OXA-48","missing","missing","2019","Klebsiella michiganensis","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sludge",NA,"CVUA","plasmid"
"NZ_JACYGQ010000006.1","NZ_JACYGQ010000006.1","SAMN16125015",2,"TEM-1,OXA-1","missing","missing","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sewage",NA,"CVUA","plasmid"
"NZ_JACYGQ010000009.1","NZ_JACYGQ010000009.1","SAMN16125015",2,"SHV-11,KPC-3","missing","missing","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sewage",NA,"CVUA","plasmid"
"NZ_JACYGR010000003.1","NZ_JACYGR010000003.1","SAMN16125016",4,"TEM-1,KPC-3,OXA-896,OXA-9","missing","missing","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"sewage",NA,"CVUA","plasmid"
"NZ_JACWHM010000050.1","NZ_JACWHM010000050.1","SAMN16132110",1,"OXA-181","India","South Asia","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Department of Clinical Microbiology, Christian Medical College, Vellore","plasmid"
"NZ_CP061780.1","NZ_CP061780.1","SAMN16132399",1,"OXA-395","Lebanon","Middle East & North Africa","2018","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","DTA",NA,"George F. Araj","chromosome"
"NZ_CP061779.1","NZ_CP061779.1","SAMN16132400",3,"OXA-4,OXA-486,IMP-15","Lebanon","Middle East & North Africa","2018","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"George F. Araj","chromosome"
"NZ_CP061778.1","NZ_CP061778.1","SAMN16132401",3,"VEB-9,OXA-10,OXA-846","Lebanon","Middle East & North Africa","2018","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","DTA",NA,"George F. Araj","chromosome"
"NZ_CP061777.1","NZ_CP061777.1","SAMN16132411",3,"OXA-4,OXA-486,IMP-15","Lebanon","Middle East & North Africa","2018","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","DTA",NA,"George F. Araj","chromosome"
"NZ_JACXBV010000062.1","NZ_JACXBV010000062.1","SAMN16177583",2,"TEM-1,OXA-232","India","South Asia","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Department of Clinical Microbiology, Christian Medical College, Vellore","plasmid"
"NZ_MW048884.1","NZ_MW048884.1","SAMN16178545",1,"NDM-5","Italy","Europe & Central Asia","2019","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,NA,"plasmid"
"NZ_MW048885.1","NZ_MW048885.1","SAMN16178545",1,"CMY-42","Italy","Europe & Central Asia","2019","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","stool",NA,NA,"plasmid"
"NZ_CP061724.1","NZ_CP061724.1","SAMN16178570",1,"VIM-2","China","East Asia & Pacific","2019","Pseudomonas putida","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,"a feces sample of migratory birds origin",NA,"College of Veterinary Medicine, Yangzhou University","plasmid"
"NZ_CP061832.1","NZ_CP061832.1","SAMN16197931",1,"SHV-11","Chile","Latin America & Caribbean","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"GeRM","chromosome"
"NZ_CP061833.1","NZ_CP061833.1","SAMN16197931",2,"CTX-M-15,OXA-1","Chile","Latin America & Caribbean","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"GeRM","plasmid"
"NZ_CP061834.1","NZ_CP061834.1","SAMN16197931",3,"CTX-M-2,OXA-10,OXA-796","Chile","Latin America & Caribbean","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"GeRM","plasmid"
"NZ_CP061842.1","NZ_CP061842.1","SAMN16222891",1,"SHV-1","China","East Asia & Pacific","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","chicken","feces",NA,NA,"chromosome"
"NZ_CP061843.1","NZ_CP061843.1","SAMN16222891",2,"TEM-1,CTX-M-3","China","East Asia & Pacific","2019","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","chicken","feces",NA,NA,"plasmid"
"NZ_CP061850.1","NZ_CP061850.1","SAMN16229869",1,"OXA-486","China","East Asia & Pacific","2015","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,"sputum",NA,NA,"chromosome"
"NZ_CP061851.1","NZ_CP061851.1","SAMN16229869",1,"KPC-24","China","East Asia & Pacific","2015","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,"sputum",NA,NA,"plasmid"
"NZ_CP061931.1","NZ_CP061931.1","SAMN16233476",4,"TEM-1,SHV-2,OXA-10,VIM-1","Switzerland","Europe & Central Asia","2018","Klebsiella michiganensis","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Rectal swab",NA,"Labormedizinisches Zentrum Dr Risch AG, Waldeggstrasse 37, 3097 Liebefeld, Switzerland","plasmid"
"NZ_CP063225.1","NZ_CP063225.1","SAMN16233514",1,"TEM-1","Switzerland","Europe & Central Asia","2018","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Rectal swab",NA,"Labormedizinisches Zentrum Dr Risch AG, Waldeggstrasse 37, 3097 Liebefeld, Switzerland","plasmid"
"NZ_CP063227.1","NZ_CP063227.1","SAMN16233514",2,"OXA-1,VIM-1","Switzerland","Europe & Central Asia","2018","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Rectal swab",NA,"Labormedizinisches Zentrum Dr Risch AG, Waldeggstrasse 37, 3097 Liebefeld, Switzerland","plasmid"
"NZ_CP062212.1","NZ_CP062212.1","SAMN16242922",1,"TEM-1","New Zealand","East Asia & Pacific","2020","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"river water",NA,NA,"plasmid"
"NZ_CP062213.1","NZ_CP062213.1","SAMN16242922",1,"CTX-M-55","New Zealand","East Asia & Pacific","2020","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"river water",NA,NA,"plasmid"
"NZ_CP062214.1","NZ_CP062214.1","SAMN16242922",3,"TEM-1,TEM-216,CTX-M-55","New Zealand","East Asia & Pacific","2020","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"river water",NA,NA,"plasmid"
"NZ_CP062792.1","NZ_CP062792.1","SAMN16246721",1,"SHV-42","Colombia","Latin America & Caribbean","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Percutaneous abscess drainage",NA,"Bacterial Molecular Genetics Laboratory","chromosome"
"NZ_CP062793.1","NZ_CP062793.1","SAMN16246721",2,"TEM-1,CTX-M-15","Colombia","Latin America & Caribbean","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Percutaneous abscess drainage",NA,"Bacterial Molecular Genetics Laboratory","plasmid"
"NZ_CP062794.1","NZ_CP062794.1","SAMN16246721",2,"TEM-206,KPC-2","Colombia","Latin America & Caribbean","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Percutaneous abscess drainage",NA,"Bacterial Molecular Genetics Laboratory","plasmid"
"NZ_CP069046.1","NZ_CP069046.1","SAMN16246926",2,"SHV-11,KPC-3","Colombia","Latin America & Caribbean","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Bacterial Molecular Genetics Laboratory","chromosome"
"NZ_CP069049.1","NZ_CP069049.1","SAMN16246926",2,"TEM-156,SHV-134","Colombia","Latin America & Caribbean","2015","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Bacterial Molecular Genetics Laboratory","plasmid"
